name;aliases;admin1;population;lat;lon
Fürth;;BY;132036;49.47593;10.98856
Charlottenburg;Berlin-Charlottenburg;BE;129359;52.51667;13.28333
Wolfsburg;Wolfsboerj|Wolfsbourg|Wolfsburgo|Wolfsbuurich;NI;123064;52.42452;10.7815
Schöneberg;;BE;122658;52.49801;13.3443
Recklinghausen;Recklinghusium;NW;122438;51.61379;7.19738
Göttingen;goeting-gen;NI;122149;51.53443;9.93228
Heilbronn;Heilbronas|Heilbronn Neckar;BW;120733;49.13995;9.22054
Ingolstadt;Ingol'shtadt|Ingolshhat|Ingolshtat|ingorushutatto;BY;120658;48.76508;11.42372
Ulm;Oulm|Ulma|Ulmas|ulmi|xulm;BW;120451;48.39841;9.99155
Bottrop;;NW;119909;51.52392;6.9285
Bergedorf;Hamburg-Bergedorf|Bezirk Bergedorf|Distretto di Bergedorf|Hambourg-Bergedorf;HH;119665;53.48462;10.22904
Pforzheim;Pforcheimas|Pforckhajm|Pfortschaim;BW;119313;48.88436;8.69892
Offenbach am Main;Frankfurt-Offenbach|Offenbach|Offenbakh;HE;119192;50.10061;8.76647
Bremerhaven;Wesermünde|Kreisfreie Stadt Bremerhaven|Bremergafen|Bremerhafenas|Bremerhafene;HB;118610;53.55357;8.57553
Friedrichshain;Berlin-Friedrichshain|Friedrichshain Bezirk|Verwaltungsbezirk Friedrichshain;BE;117829;52.51559;13.45482
Remscheid;Remsaint|Remsayd|Remseidas|Remshajd|remshaidi;NW;117118;51.17983;7.1925
Nippes;;NW;113487;50.96545;6.95314
Köln-Porz;Porz am Rhein|Porz;NW;113415;50.88637;7.0583
Reutlingen;;BW;112627;48.49144;9.20427
Marzahn;Berlin-Marzahn|marzaہn-ہylrzڈwrf;BE;111508;52.54525;13.56983
Rodenkirchen;;NW;110158;50.89328;6.99481
Koblenz;Koblenc|Koblencas|Koblenci|Koblencja|Koblenco;RP;107319;50.35357;7.57883
Siegen;;NW;107242;50.87481;8.02431
Bergisch Gladbach;Bergish Gladbakh;NW;106184;50.9856;7.13298
Salzgitter;;NI;104970;52.15705;10.4154
Jena;Jena (Thueringen);TH;104712;50.92878;11.5899
Gera;Gerapolis;TH;104659;50.88029;12.08187
Moers;;NW;103487;51.45342;6.6326
Hildesheim;Hildesheima|Hildesheimas|Hildesia|hildeseuhaim;NI;103052;52.15077;9.95112
Erlangen;Erlanga|Erlangenas|Erlangene|Erlanken;BY;102675;49.59099;11.00783
Berlin-Mitte;Mitte;BE;102338;52.52003;13.40489
Wilmersdorf;;BE;101877;52.48333;13.31667
Trier;;RP;100129;49.75565;6.63935
Zwickau;Stadt Zwickau;SN;98796;50.72724;12.48839
Kaiserslautern;Kaiserlautern|Kaiserslantern;RP;98732;49.443;7.77161
Schwerin;;MV;96641;53.62937;11.41316
Gütersloh;;NW;96180;51.90693;8.37853
Berlin-Gesundbrunnen;Gesundbrunnen;BE;93862;52.55035;13.39139
Düren;;NW;93440;50.80434;6.49299
Hamburg-Rahlstedt;Rahlstedt;HH;92511;53.60194;10.15667
Esslingen am Neckar;Esslingen;BW;92390;48.73961;9.30473
Tübingen;ITuebingen|Tuebinga;BW;92322;48.52266;9.05222
Iserlohn;Iserlaun|Iserlon;NW;91811;51.37547;7.70281
Witten;;NW;91808;51.44362;7.35258
Ratingen;;NW;91606;51.29724;6.84929
Marl;Alt-Marl|Marl'|marl  alman;NW;91398;51.65671;7.09038
Lünen;;NW;91009;51.61634;7.52872
Gießen;Gieseni|Giessa;HE;89179;50.58727;8.67554
Hanau;Hanau am Main|Khanau|hanaw;HE;88648;50.13423;8.91418
Velbert;Velbed;NW;87669;51.33537;7.04348
Ludwigsburg;Ludwigsbourg|Ludwigsburgo;BW;87603;48.89731;9.19161
